Rk,Squad,Comp,# Pl,Age,Poss,MP,Gls,Ast,G+A,G-PK,PK,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,GlsA,xGA,npxGA,PrgCA,PrgPA,CmpPass,AttPass,PassCmp%,ShortPassCmp,ShortPassAtt,ShortPassCmp%,MedPassCmp,MedPassAtt,MedPassCmp%,LongPassCmp,LongPassAtt,LongPassCmp%,Shots,SoT,SoT%,ShotsA,SoTA,SoTA%
1,Alavés,es La Liga,25,27.1,43.8,20,1.2,0.6,1.8,1,0.2,2.7,0.1,1.11,0.91,0.63,1.54,12.5,30.4,1.55,1.3,1.03,14.9,34.6,260.6,369.1,70.6,107,131.9,81.1,113.3,141.3,80.2,35,74.8,46.8,10.6,3.3,31.1,9.95,3.7,37.2
2,Angers,fr Ligue 1,23,28.1,42.8,18,1.11,0.72,1.83,0.94,0.17,1.39,0.06,1.24,1.07,0.86,1.93,15.3,30.1,1.5,1.42,1.33,20.9,49.3,339.6,427.2,79.5,156.3,176.8,88.4,145.5,171.3,84.9,29.8,58.1,51.3,10.1,3.28,32.6,12.8,5.39,42
3,Arsenal,eng Premier League,24,26.4,55.5,22,1.86,1.45,3.32,1.77,0.09,2.27,0.14,1.66,1.6,1.25,2.85,20.6,46.5,0.95,0.89,0.82,17.3,26,436.9,522.7,83.6,219,239.6,91.4,180.3,203.7,88.5,30,56.8,52.8,13.9,4.86,35,10.4,3.23,31
4,Aston Villa,eng Premier League,23,27.6,49.7,22,1.45,1.14,2.59,1.36,0.09,2.18,0.09,1.5,1.39,1.08,2.47,17.2,33.3,1.55,1.22,1.15,18,35.5,387.1,467.5,82.8,174.7,194.1,90,175.8,197.4,89.1,29.4,53.8,54.6,12.4,3.86,31.1,11.8,4.05,34.2
5,Atalanta,it Serie A,28,27.3,56.4,21,2.14,1.52,3.67,2,0.14,2,0,1.71,1.56,1.25,2.8,22.8,49.2,1.05,0.98,0.94,12.5,24.8,478.5,569.8,84,213.2,237.1,89.9,215.8,242.5,89,40.2,66.2,60.7,14.8,5.19,35,10.2,3.9,38.3
6,Athletic Club,es La Liga,28,27.4,47.4,20,1.55,1.25,2.8,1.5,0.05,1.95,0.15,1.38,1.26,1,2.25,17.9,41.5,0.85,0.93,0.82,13,34,357.8,456.3,78.4,147.7,170.1,86.9,170.6,197.9,86.2,34.9,70.2,49.8,11.7,4,34.3,8.4,2.75,32.7
7,Atlético Madrid,es La Liga,24,29.1,52.7,20,1.7,1.4,3.1,1.65,0.05,2.2,0.05,1.73,1.65,1.35,3,19.4,42,0.55,0.8,0.76,14.3,40.5,473.1,574,82.4,227.4,254.3,89.5,192.8,222,86.8,38.2,66.5,57.5,12,4.55,37.9,9.85,2.8,28.4
8,Augsburg,de Bundesliga,28,27.3,42.6,18,1.17,0.72,1.89,1.11,0.06,2.78,0.11,1.06,0.98,0.68,1.66,12.4,33.3,1.83,1.43,1.29,19.4,43.3,314.6,415.8,75.7,133.4,156.9,85.1,141.4,166.8,84.7,33.2,67.7,49,11.8,3.39,28.8,13.7,4.44,32.5
9,Auxerre,fr Ligue 1,27,26.5,42.6,18,1.33,0.94,2.28,1.22,0.11,2,0.22,1.22,1.09,0.94,2.03,13.6,33.5,1.44,1.83,1.57,20.7,44.9,315.1,412.2,76.4,134.8,157.1,85.8,133.9,157.9,84.8,37.3,73.7,50.7,11.3,4.17,36.8,13.3,5.06,38.1
10,Barcelona,es La Liga,26,25,66.8,20,2.6,1.85,4.45,2.45,0.15,1.75,0.1,2.49,2.33,1.95,4.29,22.4,57.4,1.15,1.23,1.12,12.4,21.4,557.1,648.5,85.9,242.6,267.8,90.6,259.6,285.5,90.9,43.1,65.6,65.7,16.9,6.25,37.1,8.65,3.2,37
